index	score	sentence1	sentence2
3814	0	لبنانی فرقہ وارانہ جھڑپوں میں 1 شخص ہلاک	ایران میں زلزلے سے 180 افراد ہلاک
3815	0	مالیاتی اسٹاک میں فوائد نے یورپی ایکوئٹی کو آگے بڑھایا	برطانوی عیسائیوں نے یورپی عدالت میں شکایات درج کروائیں
3816	1.6	ترکی نے شامی پناہ گزینوں پر خطرے کی گھنٹی بجا دی	ترکی کچھ شامی مہاجرین کو منتقل کرنے کی کوشش کر رہا ہے
3817	1.6	القاعدہ کا مشتبہ سرمایہ کار فرانس میں گرفتار	اسپین میں القاعدہ کے تین مشتبہ افراد گرفتار
3818	1.6	انڈونیشیا کے سماترا میں 6. 6 کے زلزلے کے بعد سونامی سے کوئی نقصان نہیں ہوا	انڈونیشیا کے سماترا میں 5. 9 شدت کا زلزلہ آیا : یو ایس جی ایس
3819	2.2	غزہ میں اسرائیلی فضائی حملوں میں 16 افراد ہلاک	غزہ میں اسرائیلی فضائی حملوں میں 4 افراد ہلاک ، ہلاکتوں کی تعداد اب 38 ہوگئی
3820	1.4	عراق میں بم دھماکوں کی لہر میں 18 افراد ہلاک 108 زخمی	عراق کے کرکوک میں کار بم دھماکوں میں 9 افراد ہلاک 31 زخمی
3821	2	فلسطینی قیدی نے معاہدے کے بعد بھوک ہڑتال ختم کر دی	اسرائیل بھوک ہڑتال کرنے والے فلسطینی کو رہا کرے گا
3822	3.4	حزب اللہ نے اسرائیل پر گرائے گئے ڈرون کی تصدیق کر دی	حزب اللہ کا کہنا ہے کہ اس نے اسرائیل کے اوپر ڈرون بھیجے
3823	3.2	باغی جنگجوؤں نے شامی فوجیوں کو'گرفتار'کر لیا	فری سیریئن آرمی نے شامی افسران کو گرفتار کر لیا
3824	2.4	کولوراڈو میں فائرنگ کا مشتبہ شخص ماہر نفسیات کی نگہداشت میں تھا	اورورا شوٹنگ کے ملزم کا علاج کرنے والے ڈاکٹر کو طبی سرزنش ملی
3825	4.8	انڈونیشیا کے پاپوا میں 6. 6 شدت کا زلزلہ آیا : یو ایس جی ایس	انڈونیشیا کے پاپوا میں 6. 6 شدت کا زلزلہ ، امریکی جیولوجیکل سروے
3826	0.4	ومبلڈن مینز فائنل میں اینڈی مرے بمقابلہ راجر فیڈرر کتنے بجے ہیں آپ کو بڑے کھیل کے بارے میں جاننے کی ضرورت ہے	پیرالمپک افتتاحی تقریب کتنے بجے ہے ؟ ہر وہ چیز جو آپ کو بڑے پردے اٹھانے والے کے بارے میں جاننے کی ضرورت ہے
3827	3.6	نیو جرسی اسکول نے گلے ملنے پر پابندی لگا دی	امریکی اسکول میں گلے ملنے پر پابندی
3828	4.6	ایران ( اسلامی جمہوریہ ایران : زلزلوں میں 227 افراد کی ہلاکت کے بعد ایران نے امدادی سرگرمیاں تیز کر دیں	ایران نے زلزلے کے بعد امدادی کارروائیاں تیز کر دیں ، 227 افراد ہلاک
3829	2.4	جنوبی الاسکا میں سونامی کا انتباہ جاری	کینیڈا میں زلزلے کے بعد سونامی کا انتباہ
3830	0.8	افغانستان قتل عام کیس میں'کوئی ثبوت نہیں '	افغانستان میں امریکی ہلاکتوں کی تعداد 2, 000 تک پہنچ گئی
3831	3.8	نقدی سے مالا مال ایپل حصص کی واپسی کے لیے منافع ادا کرے گا	ایپل $ 2. 65 / شیئر ڈیویڈنڈ ادا کرے گا $ 10 بی اسٹاک واپس خریدے گا
3832	4.6	نیویارک میں ایمپائر اسٹیٹ بلڈنگ میں فائرنگ سے دو افراد ہلاک	ایمپائر اسٹیٹ بلڈنگ کے باہر فائرنگ سے 2 افراد ہلاک
3833	1	آسٹریلیا میں بے روزگاری 5. 1 فیصد تک پہنچ گئی	فرانس میں بے روزگاری کی شرح 10 فیصد تک بڑھ گئی
3834	0.4	وال اسٹریٹ پر حصص میں اضافہ	ساحل کے قریب پہنچتے ہی سینڈی مضبوط ہوتا ہے ۔ وال اسٹریٹ بند
3835	2.6	ہالی برٹن 1 کیو کی آمدنی میں 23 فیصد اضافہ	شمالی امریکہ کی مضبوط فروخت سے ہالیبرٹن کیو 1 کے منافع میں اضافہ ہوا
3836	0.8	شمال مغربی پاکستان میں مزار پر بم دھماکے میں 4 افراد ہلاک	شمال مغربی پاکستان میں امریکی ڈرون حملے میں 12 افراد ہلاک
3837	1.6	چین کے اسٹاک جمعہ کو ملے جلے بند ہوئے	چین کے اسٹاک جمعہ کو کم سطح پر کھلے
3838	0.8	فسادات کے بعد بھارت نے بلک ٹیکسٹ پر پابندی لگا دی	فسادات کے بعد تیونس نے کرفیو اٹھا لیا
3839	2.4	اقوام متحدہ کے مبصرین ابھی تک شام کے قتل عام کے مقام تک نہیں پہنچے ۔ ویڈیو	شام کے قتل عام کے مقام کی طرف جاتے ہوئے اقوام متحدہ کے مبصرین کو گولی مار دی گئی
3840	3.6	افغانستان میں بم دھماکے میں یارکشائر کا فوجی ہلاک	افغانستان میں بم دھماکے میں ایک فوجی ہلاک
3841	3.75	مالی میں بنیاد پرست اسلام پسندوں نے نئی ملیشیا کو شامل کیا	مقامی ملیشیا نے مالی میں اسلامی عسکریت پسندوں کو تقویت دی
3842	4.2	اولمپکس کی افتتاحی تقریب دنیا بھر میں مقبول	افتتاحی تقریب سے اولمپکس کا شاندار آغاز
3843	4.8	فرانس میں دہشت گردانہ حملے میں ایک شخص ہلاک	فرانسیسی'انسداد دہشت گردی آپریشن'میں ایک شخص ہلاک
3844	5	کیپیلو نے انگلینڈ کے مینیجر کے عہدے سے استعفی دے دیا	کیپیلو نے انگلینڈ کے مینیجر کے عہدے سے استعفی دے دیا
3845	3.2	اوہائیو کے اسکول میں فائرنگ سے ایک شخص ہلاک	اوہائیو کے اسکول میں فائرنگ ، 1 ہلاک 4 زخمی
3846	2.4	اسرائیلی فضائی حملوں میں 2 فلسطینی ہلاک	اسرائیلی فضائیہ کے حملے میں چار فلسطینی ہلاک
3847	3.2	پاکستان نے امریکی ڈرون حملوں کی مذمت کی	امریکی ڈرون حملوں کے خلاف احتجاج کے لیے پاکستانی دستہ روانہ
3848	4	طاقتور سمندری طوفان سینڈی امریکی مشرقی ساحل کی جانب بڑھ رہا ہے	سمندری طوفان سینڈی نے رفتار پکڑ لی اور امریکی مشرقی ساحل کو متاثر کیا
3849	3.6	سرکوزی قذافی کی فنڈنگ کے دعوے میں شکایت درج کروائیں گے	قذافی کے نقد رقم کے دعوے کے بعد سرکوزی مقدمہ دائر کریں گے
3850	2	بدھ 4 جولائی 2012 کے لیے نوٹ ضرور پڑھیں	بدھ 30 مئی 2012 کے لیے نوٹ کو ضرور پڑھنا چاہیے
3851	4.4	اسرائیل نے حملہ کیا تو ایران تل اقب پر حملہ کرے گا '	اسرائیل نے حملہ کیا تو ایران تل اقب پر حملہ کرے گا : سینئر عالم دین
3852	0	مشرقی تیمور کے انتخابات میں گسماؤ نے اقتدار مستحکم کیا	اگر رومنی الیکشن جیت جاتے ہیں تو سپریم کورٹ کے امکانات
3853	0.6	پینا نیٹو نے میکسیکو کے صدارتی انتخابات جیت لیے	رائے شماری : پیوٹن روس کے صدارتی انتخابات جیت جائیں گے
3854	3.4	شام نے روس کو بتایا کہ کچھ فوجیں حمص سے نکل گئی ہیں	شام کا کہنا ہے کہ فوجیوں نے انخلا شروع کر دیا ہے ۔ ویڈیو
3855	2.6	نائجیریا طیارہ حادثہ : کوئی زندہ نہیں بچا	نائیجیریا میں طیارہ حادثے میں 4 چینی ہلاک
3856	2.8	وینزویلا کی ریفائنری میں دھماکہ ، کم از کم 39 افراد ہلاک	وینیزویلا میں تیل کی ریفائنری میں دھماکے سے ہونے والی اموات پر غم کا اظہار
3857	3.6	میکسیکو میں شدید زلزلہ	اکاپولکو کے قریب شدید زلزلہ
3858	3.8	شام میں ہلاکتوں پر اقوام متحدہ کی قرارداد کو چین نے ویٹو کر دیا	اقوام متحدہ کی شام کی قرارداد پر چین کا دوہرا ویٹو
3859	2.6	پاکستانی طیارہ 127 مسافروں کے ساتھ گر کر تباہ	پاکستانی طیارہ 130 افراد کے ساتھ گر کر تباہ
3860	4.4	اقوام متحدہ کی سلامتی کونسل کا افغانستان میں حقانی نیٹ ورک کے خلاف عالمی پابندیوں کا حکم	اقوام متحدہ کا حقانی نیٹ ورک کے خلاف عالمی پابندیوں کا حکم
3861	0	اردگان اور پوتن نے بلند آواز میں بات کی	صومالیہ میں کار پر حملے میں غیر ملکی عسکریت پسند ہلاک
3862	4	سعودی عرب نے القاعدہ سے تعلق رکھنے والے مشتبہ عسکریت پسندوں کو گرفتار کیا	سعودی عرب نے مشتبہ عسکریت پسندوں کو گرفتار کر لیا ، سرکاری میڈیا رپورٹس
3863	4.8	سمندری طوفان سینڈی امریکہ کے مشرقی ساحل پر بند ہوا	سمندری طوفان سینڈی نے امریکہ کے مشرقی ساحل کو نشانہ بنایا
3864	2.2	شکاگو کے اساتذہ کی ہڑتال : طلباء کے لیے تعطیلات اچھے یا برے کے لیے	شکاگو میں اساتذہ کی ہڑتال یونینوں کے لیے امتحان کا باعث بنی
3865	1.6	پنیٹا کا کہنا ہے کہ افغانستان کا کردار 2013 میں لڑائی سے ہٹ جائے گا	پنیٹا : افغانستان نیٹو کانفرنس کے موضوعات میں سرفہرست
3866	4	چار افراد نے لندن اسٹاک ایکسچینج میں بم کی سازش کا اعتراف کیا	چار افراد نے لندن بم دھماکوں کی سازش کا اعتراف کیا
3867	1.6	اسرائیل کی غزہ کے امدادی جہاز کے خلاف کارروائی کی دھمکی	راکٹ فائر کے بعد غزہ کی پٹی میں اسرائیل کا حملہ
3868	3.8	انڈونیشیا میں روسی طیارہ حادثے میں لاشیں ملی ہیں	انڈونیشیا میں روسی طیارہ حادثے میں 12 لاشیں ملی ہیں
3869	1	شام کا پناہ گزینوں کی واپسی پر زور	شام میں کشیدہ جنگ بندی کا آغاز
3870	4.2	افغانستان میں امریکی فوجی نے 16 شہریوں کو ہلاک کر دیا	امریکی فوجی کی فائرنگ سے 16 افغان شہری ہلاک
3871	1.2	روپرٹ مرڈوک : میں ایک پردہ ڈالنے کا شکار تھا	روپرٹ مرڈوک گرلنگ کے دوسرے دن کے لیے تیار
3872	0.4	براک اوباما کے محافظوں کو جسم فروشی کے اسکینڈل کے بعد امریکہ واپس بھیج دیا گیا	بارکلیز کے باس ریٹ فکسنگ اسکینڈل میں پھنس گئے
3873	3.8	چین کا یوآن بدھ کے روز امریکی ڈالر کے مقابلے نئی بلند ترین سطح پر پہنچ گیا	چین کا یوآن بدھ کو امریکی ڈالر کے مقابلے 6. 3103 پر پہنچ گیا
3874	4	نسان اسٹیر بائی وائر کاریں فروخت کرے گی	نسان کچھ انفینیٹی کاروں میں تار بہ تار نظام پیش کرے گا
3875	3.8	چینی حکمرانی کے خلاف احتجاج میں خود کو آگ لگانے کے بعد تبتی راہب کی موت	چین میں نوعمر تبتی راہب نے خود کو آگ لگا لی ، موت
3876	1	ممبئی رہنے کے لیے ہندوستان کا دوسرا مہنگا ترین شہر ہے	ٹیک کیپیٹل بنگلور رہنے کے لیے سب سے مہنگا ہندوستانی شہر : سروے
3877	3.8	نوعمر کے قتل کے معاملے میں 19 سے پوچھ گچھ کی گئی	میگن لی کے قتل پر شخص سے پوچھ گچھ
3878	3.4	اسرائیل نے حماس کے کمانڈر کو ہلاک کر کے غزہ کے اہداف کو نشانہ بنایا	اسرائیلی فضائی حملوں میں حماس کے کمانڈر سمیت 5 افراد ہلاک
3879	3.6	مشرقی تیمور کے انتخابات میں گسماؤ نے اقتدار مستحکم کیا	مشرقی تیمور میں گسماو کی طاقتیں موجود ہیں
3880	4.4	اقوام متحدہ کے مبصرین ابھی تک شام کے قتل عام کے مقام تک نہیں پہنچے ۔ ویڈیو	اقوام متحدہ کے مبصرین شام میں ہلاکتوں کے مقام تک پہنچنے سے قاصر
3881	4.8	نیٹو نے شام میں ترک فوجی طیارہ گرائے جانے کی مذمت کی	نیٹو نے شام میں ترک طیارہ گرائے جانے کی شدید مذمت کی
3882	0.8	شامی باغیوں نے سرحد کے قریب لبنانی چوکی پر حملہ کیا : فوج	ترکی کی فوج نے شام کی سرحد کے قریب ٹینک مشقیں کیں
3883	0.2	چین میں عمارت گرنے سے پانچ افراد ہلاک	شام میں ہفتے کے روز کم از کم 20 افراد ہلاک
3884	3.4	شامی افواج نے نئے حملے شروع کر دیے	شامی افواج کا حلب پر حملہ
3885	1.4	غزہ کے شہریوں نے اسرائیل پر 2 راکٹ فائر کیے ، کوئی جانی نقصان نہیں ہوا	غزہ میں 89 راکٹ داغے گئے کابینہ نے ریزرو کال اپ کی منظوری دے دی
3886	4.6	سابق نازی ڈیتھ کیمپ گارڈ ڈیمجنجوک 91 سال کی عمر میں انتقال کر گئے	نازی ڈیتھ کیمپ کے محافظ جان ڈیمجنجوک 91 سال کی عمر میں انتقال کر گئے
3887	3.8	بورس جانسن لندن کے میئر دوبارہ منتخب	جانسن لندن کے دوبارہ میئر منتخب
3888	1	ریوک نے عدالت میں انتہائی دائیں بازو کی سلامی ترک کر دی	بریوک کو 21 سال قید کی سزا
3889	1.4	دوسرے نوجوان پر قتل کا الزام	ایسٹ اینڈرز کی اداکارہ جیما میک کلسکی کے بھائی پر ان کے قتل کا الزام عائد کیا گیا ہے
3890	0.8	قتل کے بعد نئے سیریل قاتل سے فرانسیسی خوف زدہ	جرسی قتل مقدمے کی سماعت : قاتل'آوازیں سن رہا ہے '
3891	4.2	یو ایس : میڈوف کے بھائی نے نیویارک میں دھوکہ دہی کا اعتراف کیا	میڈوف کے بھائی نے دھوکہ دہی کا اعتراف کیا
3892	1.8	فرانس کے صدارتی انتخابات میں اولاند نے سرکوزی کو شکست دیدی	فرانس میں صدارتی انتخابات کے لیے ووٹنگ کا آغاز
3893	3.2	لیبیا کی حکومت نے طرابلس کا ہوائی اڈہ دوبارہ حاصل کر لیا	لیبیا کی ملیشیا نے طرابلس ہوائی اڈے کا کنٹرول سنبھال لیا
3894	4.6	کلنٹن نے کینیا کو انتخابی تشدد کی قیمت پر خبردار کیا	کلنٹن نے کینیا کو انتخابی بدامنی کی قیمت پر خبردار کیا
3895	4.6	ارکنساس سپریم کورٹ نے پھانسی کے قانون کو کالعدم قرار دے دیا	ارکنساس کے ججوں نے سزائے موت کو کالعدم قرار دے دیا
3896	4.2	جنوبی افریقہ کے سابق صدر منڈیلا کو ہسپتال سے چھٹی مل گئی	نیلسن منڈیلا ہسپتال سے فارغ
3897	0.2	شام پر مذاکرات کے لیے ترکی میں اقوام متحدہ کے ایلچی	نیوزی لینڈ کا چین کو برآمدات بڑھانے کا اعلان
3898	1	اسلام پسند مرسی نے مصر کے صدارتی انتخابات جیت لیے	ال شتر مصر میں صدارتی انتخابات میں حصہ لیں گے
3899	1.6	ڈونا سمر - ڈسکو کی ملکہ	ڈونا سمر کوئین آف ڈسکو 63 سال کی عمر میں انتقال کر گئیں
3900	3.6	بنگلہ دیش کے مسلمانوں نے بدھ مت کی عبادت گاہوں کو نذر آتش کیا ، پولیس کا کہنا ہے	مسلمانوں نے بدھ مت کے مندروں کو نذر آتش کیا
3901	0.4	پاکستان میں امریکی ڈرون حملے میں پانچ عسکریت پسند ہلاک	دگستان میں حملوں میں چھ پولیس اہلکار ہلاک
3902	0	مالی کے مستقبل کے عبوری صدر عہدہ سنبھالنے کے لیے تیار	پوپ نے برہمچری پر اختلاف رائے رکھنے والے پادریوں پر سخت تنقید کی
3903	1.2	قاہرہ میں تازہ ترین جھڑپوں میں 9 افراد ہلاک 168 زخمی	افغانستان کے ہوائی اڈے پر خودکش دھماکہ ، 10 افراد ہلاک ، 12 زخمی
3904	3.8	رومنی نے مین ریپبلکن کاؤکس جیت لیا	رومنی کی واپسی نے مائن کاکس کو تنگ کر دیا
3905	3.8	بحرین کی عدالت نے طبی عملے کی آخری ریلی کی اپیل مسترد کر دی	بحرین نے کارکنوں کی اپیل مسترد کر دی
3906	3.6	سمندری طوفان سینڈی مشرقی سمندری ساحل کی طرف بڑھ رہا ہے	سمندری طوفان سینڈی امریکہ کی طرف بڑھ رہا ہے
3907	0	کلنٹن کا شام کے دوستوں سے متحد ہونے کا مطالبہ	پلاسٹک آرٹسٹ کا نئی صلاحیتوں کے لیے زیادہ سے زیادہ تعاون کا مطالبہ
3908	0	جے کے رولنگ نے اپنا پہلا بالغ ناول لانچ کیا	شام نے حلب میں زمینی حملہ شروع کر دیا
3909	2.4	الجزائر کی حکومتی جماعتوں کا انتخابات میں غلبہ	الجزائر میں پارلیمانی ووٹوں کا قومی ٹرن آؤٹ 44. 38 فیصد تک پہنچ گیا
3910	0.6	یمن میں سیکیورٹی اہلکار ہلاک	پاکستان کے حملے میں سیکیورٹی اہلکار ہلاک
3911	3.2	امریکی اسٹاک نیچے آئے جب یونانی مذاکرات میں سست رفتاری;سیب گرا	یونانی مذاکرات کے آگے بڑھنے سے وال اسٹریٹ پر امریکی اسٹاک میں گراوٹ
3912	5	رومنی نے ریان کو نائب صدارتی امیدوار کے طور پر منتخب کیا : ذرائع	رومنی ریان کو نائب صدارتی امیدوار کے طور پر منتخب کریں گے
3913	1	نیٹو افغانستان میں منتقلی کے روڈ میپ پر قائم ہے : راسموسن	نیٹو کے ہیلی کاپٹر کی مشرقی افغانستان میں ہارڈ لینڈنگ
3914	1.4	مبارک کو قتل کے مقدمے میں سزا کا سامنا ہے	مبارک کے بیٹوں کو اندرونی تجارت کے نئے الزامات کا سامنا ہے
3915	2	سرمایہ کاری کے لیے کوئی بلاکس نہیں	بھارت نے پاکستان کو سرمایہ کاری کی اجازت دے دی
3916	2.6	شمال مغربی پاکستان میں دھماکہ ، 11 افراد ہلاک	شمال مغربی پاکستان میں بم دھماکے میں 19 افراد ہلاک
3917	0.8	افغانستان میں آپریشن کے دوران 5 امدادی کارکن رہا	افغانستان میں مسجد میں خودکش بم دھماکہ ، 37 افراد ہلاک
3918	3.6	افغانستان میں نیٹو کے دو فوجی ہلاک	افغان دھماکے میں نیٹو کا فوجی ہلاک
3919	4	فرانسیسی اوپن کے فائنل میں پہنچ گئے ندال	ندال ساتویں فرانسیسی اوپن کے فائنل میں پہنچ گئے
3920	3.2	روسی ٹی وی رپورٹس نے پوتن پر حملے کی کوشش کو ناکام بنا دیا	روس یوکرین نے پوتن کو قتل کرنے کی سازش ناکام بنا دی : رپورٹ
3921	4.4	پیوٹن کا روس کے صدارتی انتخابات میں فتح کا دعوی	روس کے متنازعہ صدارتی انتخابات میں پیوٹن کی جیت
3922	5	میکسیکو کے غار سے 167 لاشوں کی باقیات برآمد	میکسیکو کے غار میں 167 افراد کی باقیات ملی ہیں
3923	4	الپس قتل عام کی یتیم لڑکی برطانیہ واپس آگئی	الپس حملہ : لڑکی برطانیہ لوٹ گئی
3924	2.8	اوباما کی ٹیم نے مباحثے کے امکانات بڑھائے	اوباما نے بحث میں رومنی کے خلاف جارحانہ بیان دیا
3925	0.8	کینیا میں طیارہ حادثے میں دو وزرا سمیت 6 افراد ہلاک	پولینڈ نے 2010 کے طیارہ حادثے میں ہلاک ہونے والے صدر کو خراج تحسین پیش کیا
3926	2.8	روس میں پوٹن مخالف نئی ریلی کے لیے ہزاروں افراد جمع	ماسکو میں حریف ریلیوں کے لیے ہزاروں افراد جمع
3927	3.8	گوگل نے موٹرولا موبلٹی کے نئے سی ای او کا نام دیا	گوگل نے موٹرولا موبلٹی چلانے کے لیے ڈینس ووڈ سائیڈ کو مقرر کیا
3928	4.4	طاقتور سمندری طوفان سینڈی امریکی مشرقی ساحل کی جانب بڑھ رہا ہے	سمندری طوفان سینڈی نے امریکہ کے مشرقی ساحل کو نشانہ بنایا
3929	3.4	ایک اور راکٹ اشکول سے ٹکرا گیا ، کوئی زخمی نہیں ہوا	2 راکٹوں نے اشکول کو نشانہ بنایا کوئی زخمی نہیں ہوا
3930	3.8	مزید ہزاروں شامی مہاجرین راتوں رات ترکی فرار ہو گئے	راتوں رات 8, 000 شامی مہاجرین ترکی فرار ہو گئے
3931	4	اسانج نے برطانیہ کی اعلی عدالت میں حوالگی کی اپیل کی	اسانج برطانیہ کی اعلی عدالت میں حوالگی کی اپیل کریں گے
3932	2	پاکستان کے بیشتر حصوں میں شدید زلزلے کے جھٹکے	مشرقی انڈونیشیا میں شدید زلزلے کے جھٹکے
3933	1	شام کے بحران پر لبنانی بندوق برداروں کا تصادم	شامیوں نے شام کے بحران کا حل تلاش کرلیا
3934	4	قرآن جلانے پر ہجوم نے ایک شخص کو قتل کر دیا	پاکستانی ہجوم نے قرآن جلانے پر ایک شخص کو قتل کر دیا
3935	1.8	شمالی وزیرستان میں امریکی ڈرون حملے میں چار افراد ہلاک	شمال مغربی پاکستان میں امریکی ڈرون حملے میں 10 افراد ہلاک : حکام
3936	4.6	سلواڈور ڈالی کی پینٹنگ نیویارک کی گیلری سے چھین لی گئی	نیو یارک میں سلواڈور ڈالی کی پینٹنگ چھین لی گئی
3937	1.8	پیوٹن کا روس کے صدارتی انتخابات میں فتح کا دعوی	کیا روس میں پوتن کی انتخابی فتح کو احتجاج کے ساتھ خوش آمدید کہا جائے گا ؟
3938	4.2	سرکوزی کا دوبارہ انتخابات میں حصہ لینے کا اعلان	فرانس کے نکولس سرکوزی نے دوبارہ انتخابات کے لیے باضابطہ بولی لگا دی
3939	4.6	یو ایس ۔ برطانیہ کا تیل کے ہنگامی ذخائر جاری کرنے کا معاہدہ	یو ایس یوکے نے تیل کے اسٹاک کی ہنگامی ریلیز پر اتفاق کیا
3940	3	یورو زون میں بے روزگاری ریکارڈ 11 فیصد پر برقرار	یورو زون میں بے روزگاری جون میں ریکارڈ سطح پر پہنچ گئی
3941	3.8	فرانسیسی سوشلسٹ پارٹی نے پارلیمنٹ جیت لی	فرانسیسی سوشلسٹوں نے پارلیمنٹ میں مکمل اکثریت حاصل کر لی
3942	0.6	تیونس میں صلاحی اسلام پسندوں کی پولیس سے جھڑپیں - گواہ	دوسرا اسلام پسند بھوک ہڑتال کرنے والا تیونس کی جیل میں دم توڑ گیا
3943	3.8	اسٹراس کاہن فرانسیسی جسم فروشی کے نیٹ ورک میں تفتیش کے دائرے میں ہیں	ڈومینیک اسٹراس کاہن کو فرانسیسی جسم فروشی کے دائرے پر سوالات کا سامنا ہے
3944	1.8	رومنی نے فلوریڈا ریپبلکن پرائمری جیت لی	رومنی کی نظر امریکی ریپبلکن پرائمری کے اختتام پر
3945	2.6	شمالی وزیرستان میں امریکی ڈرون حملے میں چار افراد ہلاک	پاکستان میں مشتبہ ڈرون حملے میں 4 افراد ہلاک
3946	2.4	چین میں 2 ٹریفک حادثات ، 47 افراد ہلاک	چین میں 3 ٹریفک حادثات ، 56 افراد ہلاک
3947	0	سی آئی اے کے سربراہ نے تعلقات کی وجہ سے استعفی دے دیا	ہال آف فیم کیپریاٹی کے لیے اشارہ کرتا ہے
3948	4	فرانس کے اسٹراس کاہن پر جسم فروشی میں ملوث ہونے کا الزام عائد	اسٹراس کاہن پر جسم فروشی کے الزام میں مقدمہ درج
3949	3.6	سونی نے ریکارڈ سالانہ نقصان کی اطلاع دی	سونی نے سالانہ 6. 4 ارب ڈالر کے ریکارڈ نقصان کی پیش گوئی کی
3950	0.4	غزہ میں اسرائیلی فضائی حملوں میں 12 افراد ہلاک	آئکٹیو آئبیک ایئر لائن کی ہڑتال پر آگے بڑھ رہا ہے
3951	1.4	عراق میں ہلاکت خیز دن کے بعد حملوں میں 9 افراد ہلاک	عراق میں رمضان کے اختتام سے قبل حملوں میں 19 افراد ہلاک
3952	4.4	بارکلیز کو تازہ امریکی تحقیقات کا سامنا	بارکلیز کو تازہ امریکی تحقیقات کا سامنا
3953	0.4	امریکہ نے شام میں اپنا سفارت خانہ بند کر دیا	ارمینیا میں بند سڑکیں
3954	4.4	یورپی یونین نے شام پر نئی پابندیاں عائد کر دیں	یورپی یونین نے شامی حکومت پر نئی پابندیاں عائد کر دیں
3955	3.4	پیوٹن کی حکمرانی کے خلاف روسیوں کا مظاہرہ	پوتن کی حکمرانی کے خلاف دسیوں ہزار افراد کا مظاہرہ ( اے پی )
3956	4	مظاہروں کے درمیان بحرین گرینڈ پری جاری	بدامنی کے درمیان بحرین کی دوڑ آگے بڑھی
3957	1.4	چین کے اسٹاک پیر کو فلیٹ کھل گئے	چینی اسٹاک بدھ کو مکسڈ اوپن ہوئے
3958	4.6	شیرل کرو کا کہنا ہے کہ انہیں دماغ کا بے ضرر ٹیومر ہے	شیرل کرو کو بے ضرر برین ٹیومر ہے
3959	3.8	افغان پارلیمنٹ نے امریکہ - افغان سلامتی معاہدے کی منظوری دے دی	افغان پارلیمنٹ نے امریکی شراکت داری کی منظوری دے دی
3960	0.6	کینیا کے ہوائی حادثے میں دو جرمن سیاح ، دو پائلٹ ہلاک	سینیٹر ریڈ لاس ویگاس کار حادثے میں ملوث : سی این این
3961	3.6	اسرائیلی فلسطینی مذاکرات کاروں کی خاموشی سے ملاقات	اسرائیلی فلسطینی مذاکرات کاروں کی اردن میں ملاقات
3962	3.6	امریکی خلاباز نیل آرمسٹرانگ 82 سال کی عمر میں انتقال کر گئے	امریکی خلاباز نیل آرمسٹرانگ انتقال کر گئے
3963	4.2	ایمنسٹی : شام کے باغی بھی بدسلوکیوں کا ارتکاب کر رہے ہیں	ایمنسٹی کے تفتیش کار : شام کے باغی بھی بدسلوکیوں کا ارتکاب کر رہے ہیں
3964	1.6	مٹ رومنی نے انڈیانا میں ریپبلکن پرائمری جیت لی	رومنی نے فلوریڈا ریپبلکن پرائمری جیت لی
3965	4	مشرقی جرمنی کے حقوق کارکن گاؤک صدر منتخب	جوآخم گاؤک جرمنی کے صدر منتخب
3966	2.4	جنوبی افریقہ نے کان کے تشدد کی تحقیقات شروع کر دی	جنوبی افریقہ نے کانوں کے تعطل میں'امن مذاکرات'کی میزبانی کی
3967	0.4	ایس ڈبلیو چین حادثے میں 3 افراد ہلاک 27 زخمی	بھارت میں کشتی حادثے میں 35 افراد ہلاک اور 165 لاپتہ
3968	1	سینٹورم مینیسوٹا کی فتح کی طرف بڑھ رہا ہے	سینٹورم نے کینساس کاکسس جیت لیا
3969	4	خلائی لیجنڈ نیل آرمسٹرانگ انتقال کر گئے	چاند پر اترنے والے پہلے انسان نیل آرمسٹرانگ 82 سال کی عمر میں انتقال کر گئے
3970	4.8	امریکہ اور ترکی نے شام کے لیے نو فلائی زونز پر غور کیا	ترکی اور امریکہ نے شام کے لیے نو فلائی زونز پر غور کیا
3971	0.8	دوہرے قتل کا ملزم گرفتار	پولیس کے منشیات کے چھاپے میں ڈبلیو اے کا شخص گرفتار
3972	2.8	فلوریڈا کی کاؤنٹیوں میں قبل از وقت ووٹنگ میں توسیع	فلا ۔ ڈیموکریٹس ووٹنگ کے اوقات میں توسیع چاہتے ہیں
3973	3.8	جنگی جہاز فاکلینڈ کے لیے روانہ	برطانوی جنگی جہاز فاکلینڈ کے لیے روانہ
3974	1	نیو کیسل 2 - 0 لیورپول : میچ کی رپورٹ تصاویر اور ویڈیو کی جھلکیاں	کیو پی آر 1 - 2 ویسٹ ہیم : میچ رپورٹ تصاویر اور ویڈیو کی جھلکیاں
3975	2.8	فلسطینی قیدیوں کا بھوک ہڑتال ختم کرنے کا اعلان	فلسطینی قیدیوں کی بھوک ہڑتال کے مذاکرات میں پیش رفت کی اطلاع
3976	1	پولیس : جرمنی میں یرغمال بننے کے واقعے میں چار افراد ہلاک	فلسطینی : شمالی پٹی میں آئی ڈی ایف کے حملے میں 12 افراد ہلاک
3977	4.25	مصر نے مبارک وزیر اعظم کو صدارتی دوڑ میں واپس آنے دیا	مصر نے مبارک کے وزیر اعظم کی صدارتی دوڑ میں واپسی کی تصدیق کر دی
3978	0.6	دارالحکومت میں شامی صحافی قتل	بیس پر حملے میں امریکی میرینز ہلاک
